,Family,genuses
51,Gloiosiphoniaceae,"['Chondrococcus', 'Gloeophycus', 'Gloiosiphonia', 'Ochtodes', 'Plagiospora', 'Rhizophyllis', 'Rhododiscus', 'Thuretella']"
52,Haemeschariaceae,[]
53,Kallymeniaceae,"['Austrophyllis', 'Beringia', 'Callocolax', 'Callophyllis', 'Cirrulicarpus', 'Crossocarpus', 'Ectophora', 'Erythrophyllum', 'Euthora', 'Glaphrynema', 'Hormophora', 'Kallymenia', 'Kallymeniopsis', 'Meredithia', 'Nereoginkgo', 'Polycoelia', 'Pugetia', 'Rhizopogonia', 'Thamnophyllis']"
54,Mychodeaceae,[]
55,Mychodeophyllaceae,[]
56,Nizymeniaceae,[]
57,Phacelocarpaceae,[]
58,Phyllophoraceae,"['Ceratocolax', 'Erythrodermis', 'Gymnogongrus', 'Ozophora', 'Petrocelis', 'Petroglossum', 'Phyllophora', 'Schottera', 'Stenogramme']"
59,Polyideaceae,"['Polyides', 'Rhodopeltis']"
60,Rhizophyllidaceae,['Contarinia']
61,Rissoellaceae,[]
62,Schmitziellaceae,['Schmitziella']
63,Solieriaceae,"['Agardhiella', 'Eucheuma', 'Gardneriella', 'Meristotheca', 'Neoagardhiella', 'Opuntiella', 'Sarcodiotheca', 'Solieria', 'Turnerella', 'Wurdemannia']"
64,Sphaerococcaceae,['Sphaerococcus']
65,Tichocarpaceae,[]
66,Gracilariaceae,"['Ceratodictyon', 'Curdiea', 'Gracilaria', 'Gracilariophila', 'Gracilariopsis', 'Hydropuntia', 'Melanthalia']"
67,Pterocladiophilaceae,['Holmsella']
68,Halymeniaceae,"['Aeodes', 'Carpopeltis', 'Cryptonemia', 'Dermocorynus', 'Grateloupia', 'Halymenia', 'Prionitis', 'Zanardinula']"
69,Tsengiaceae,[]
70,Nemastomataceae,"['Nemastoma', 'Predaea']"
71,Schizymeniaceae,"['Haematocelis', 'Platoma', 'Schizymenia']"
72,Peyssonneliaceae,"['Peyssonnelia', 'Polystrata', 'Pulvinia']"
73,Plocamiaceae,"['Plocamiocolax', 'Plocamium']"
74,Pseudoanemoniaceae,[]
75,Sarcodiaceae,['Trematocarpus']
76,Champiaceae,"['Acrothamnion', 'Binghamia', 'Champia', 'Chylocladia', 'Coeloseira', 'Gastroclonium', 'Lomentaria']"
77,Faucheaceae,"['Fauchea', 'Faucheocolax', 'Gloioderma', 'Leptofauchea']"
78,Fryeellaceae,['Fryeella']
79,Hymenocladiaceae,[]
80,Lomentariaceae,[]
81,Rhodymeniaceae,"['Agardhinula', 'Botryocladia', 'Chrysymenia', 'Cordylecladia', 'Cryptarachne', 'Halichrysis', 'Maripelta', 'Rhodymenia', 'Rhodymeniocolax', 'Sciadophycus', 'Weberella']"
82,Sebdeniaceae,['Sebdenia']
83,Boldiaceae,['Boldia']
84,Compsopogonaceae,"['Compsopogon', 'Compsopogonopsis']"
85,Erythrotrichiaceae,"['Erythrocladia', 'Erythropeltis', 'Erythrotrichia', 'Membranella', 'Porphyropsis', 'Smithora']"
86,Rhodochaetaceae,['Rhodochaete']
87,Phragmonemataceae,"['Kneuckeria', 'Kyliniella', 'Phragmonema']"
88,Porphyridiaceae,"['Chroothece', 'Flintiella', 'Petrovanella', 'Porphyridium', 'Rhodosorus', 'Vanhoeffenia']"
89,Dixoniellaceae,"['Bulboplastis', 'Dixoniella', 'Neorhodella']"
90,Glaucosphaeraceae,['Glaucosphaera']
91,Rhodellaceae,"['Corynoplastis', 'Rhodella']"
92,Rufusiaceae,['Rufusia']
93,Stylonemataceae,"['Asterocytis', 'Bangiopsis', 'Chroodactylon', 'Colacodictyon', 'Goniotrichopsis', 'Neevea', 'Rhodospora', 'Stylonema']"
94,Chlorodendraceae,"['Prasinocladus', 'Tetraselmis']"
95,Halosphaeraceae,"['Halosphaera', 'Hyalophysa', 'Pachysphaera']"
96,Chlorangiopsidaceae,[]
97,Tetracystaceae,[]
98,Chaetopeltidaceae,"['Chaetopeltis', 'Dicranochaete', 'Pseudulvella']"
99,Aphanochaetaceae,"['Aphanochaete', 'Chaetonema', 'Thamniochaete']"
100,Chaetophoraceae,"['Chaetobolus', 'Chaetophora', 'Chlorotylium', 'Desmococcus', 'Draparnaldia', 'Draparnaldiopsis', 'Ectochaete', 'Endophyton', 'Gongrosira', 'Helicodictyon', 'Internoretia', 'Ochlochaete', 'Pilinella', 'Protoderma', 'Stigeoclonium', 'Uronema']"
101,Schizomeridaceae,['Schizomeris']
102,Actinochloridaceae,[]
103,Asteromonadaceae,['Asteromonas']
104,Carteriaceae,[]
105,Characiochloridaceae,[]
106,Characiosiphonaceae,[]
107,Chlamydomonadaceae,"['Brachiomonas', 'Carteria', 'Chlainomonas', 'Chlamydomonas', 'Chlamydonephris', 'Chlorangium', 'Chlorogonium', 'Fortiella', 'Glenomonas', 'Gloeomonas', 'Hyalogonium', 'Lobomonas', 'Polytoma', 'Pyramichlamys', 'Smithsonimonas', 'Sphaerellopsis', 'Sphenochloris', 'Spirogonium']"
108,Chlorangiellaceae,"['Malleochloris', 'Stylosphaeridium']"
109,Chlorochytriaceae,['Chlorochytrium']
110,Chlorococcaceae,"['Chlorococcum', 'Oophila', 'Schroederia', 'Tetraedron']"
111,Chlorosarcinaceae,"['Chlorosarcina', 'Chlorosarcinopsis', 'Gomphonitzschia']"
112,Coccomyxaceae,"['Choricystis', 'Coccomyxa', 'Dactylothece', 'Diogenes', 'Dispora', 'Mycanthococcus', 'Ourococcus']"
113,Cylindrocapsaceae,['Cylindrocapsa']
114,Dangeardinellaceae,[]
115,Dictyosphaeriaceae,"['Dictyosphaerium', 'Dimorphococcus']"
116,Dunaliellaceae,"['Collodictyon', 'Dunaliella']"
117,Endosphaeraceae,"['Phyllobium', 'Rhodochytrium']"
118,Gloeocystaceae,[]
119,Gloeodendraceae,[]
120,Goniaceae,['Gonium']
121,Haematococcaceae,"['Haematococcus', 'Stephanosphaera']"
122,Hormotilaceae,['Hormotila']
123,Hypnomonadaceae,[]
124,Micractiniaceae,"['Acanthosphaera', 'Echinosphaerella', 'Errerella', 'Gloeoactinium', 'Golenkeniopsis', 'Micractinium']"
125,Palmellaceae,"['Palmella', 'Urococcus']"
126,Palmellopsidaceae,"['Asterococcus', 'Gloeococcus', 'Palmodictyon', 'Pseudosphaerocystis']"
127,Phacotaceae,"['Coccomonas', 'Dysmorphococcus', 'Phacotus', 'Pteromonas', 'Thoracomonas', 'Wislouchiella']"
128,Pleurastraceae,[]
129,Protosiphonaceae,['Protosiphon']
130,Raciborskiellaceae,[]
131,Rhopalosolenaceae,['Kentrosphaera']
132,Scotiellocystoidaceae,[]
133,Sphaerocystidaceae,['Sphaerocystis']
134,Sphaerodictyaceae,['Pectodictyon']
135,Spondylomoraceae,"['Pascherina', 'Pyrobotrys', 'Spondylomorum']"
136,Tetrabaenaceae,[]
137,Tetrasporaceae,"['Apiocystis', 'Gemellicystis', 'Paulschulzia', 'Phacomyxa', 'Pseudotetraspora', 'Schizochlamys', 'Tetraspora']"
138,Treubariaceae,[]
139,Volvocaceae,"['Eudorina', 'Oltmannsiella', 'Pandorina', 'Platydorina', 'Platymonas', 'Pleodorina', 'Stephanoon', 'Volvox', 'Volvulina']"
140,Oedogoniaceae,"['Bulbochaete', 'Oedocladium', 'Oedogonium']"
141,Bracteacoccaceae,['Bracteacoccus']
142,Bracteamorphaceae,[]
143,Characiaceae,"['Actidesmium', 'Ankyra', 'Characium', 'Sykidion']"
144,Chromochloridaceae,[]
145,Dictyochloridaceae,[]
146,Dictyococcaceae,[]
